MLS,Street,City,Bedrooms,Bathrooms,SqFt,List Price,Price/SqFt,County,Zone,Source,Date,URL
1070295, 768 El Morro, Los Osos,2,2,1779,499900,281.0005621, SLO,1,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070295
1071497, 484 Ash, Los Osos,2,2,1674,535000,319.5937873, SLO,1,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071497
1071959, 1352 Cove, Oceano,3,2,1258,389000,309.2209857, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071959
1070152, 616 4th, Paso Robles,2,2,1110,299000,269.3693694, SLO,4,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070152
1068827, 351 Wilmar, Pismo Beach,2,2,1906,1050000,550.8919203, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1068827
1069319, 1502 Goldsmith, Santa Maria,4,4,4118,789000,191.597863, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1069319
1062829, 3231 Live Oak, Santa Ynez,3,2,2300,1395000,606.5217391, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1062829
1065153, 1247 Hans Park, Solvang,3,3,2168,799900,368.9575646, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1065153
1072067,  5995 Rocky Canyon,  Atascadero,3,3,2316,949000,409.7582038,  SLO,3,0,  October 16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072067
1072012,  2950 Burton,  Cambria,2,2,946,419000,442.9175476,  SLO,0,0,  October 16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072012
