ListingID,S,SubType,St#,StreetName,City,MLSArea,SLC,Price,PricePerSquareFoot,BrBa,Sqft,YrBuilt,AcLSqft,DOMCDOM,ViewYN,PoolPrivateYN,BAC,ContractStatusChangeDate,MLS
PI1069057,P,SFR/D,1177,Ash ST  ,ARRG,ARRG,,"$485,000 ",$310.90 ,"4/2,0,0,0",1560/A,1949,"0.1669/7,270",63/63,Y,,2.5,11/8/16,CCR
PI1071152,P,SFR/D,1026,Sunset DR  ,ARRG,ARRG,,"$499,000 ",$349.44 ,"3/1,1,0,0",1428/A,1930,"0.2032/8,851",9-Sep,N,,2.5,9/23/16,CCR
SP1072710,P,SFR/D,376,Alder   ,ARRG,ARRG,,"$499,000 ",$344.85 ,"3/1,1,0,0",1447/A,1971,"0.1309/5,702",5-May,Y,,2.5,11/14/16,CCR
SC1072791,P,SFR/A,1610,Pomeroy   ,ARRG,ARRG,,"$499,995 ",$279.48 ,"2/2,0,0,0",1789/A,2013,"2.84/123,710",3-Mar,Y,,3,11/11/16,CCR
PI1070303,P,SFR/D,925,Sycamore CT  ,ARRG,ARRG,,"$519,000 ",$325.19 ,"5/2,0,0,0",1596/A,1964,"0.2109/9,187",63/63,Y,,2.5,10/19/16,CCR
PI1070382,P,SFR/A,185,Brisco RD   #M,ARRG,ARRG,,"$525,000 ",$223.79 ,"4/3,0,0,0",2346/A,2008,"0.1129/4,918",89/254,Y,,2.5,11/16/16,CCR
PI1071681,P,SFR/D,173,Alder ST  ,ARRG,ARRG,,"$549,000 ",$337.85 ,"4/2,0,0,0",1625/S,1979,"0.1446/6,299",43/43,N,,2.5,11/11/16,CCR
PI1069595,P,SFR/D,222,Oakwood CT  ,ARRG,ARRG,,"$549,900 ",$321.20 ,"3/2,0,0,0",1712/A,1990,"0.0927/4,038",112/112,Y,,2.25,11/14/16,CCR
PI1061677,P,SFR/A,181,Eastman ST  ,ARRG,ARRG,"FOR,SPAY","$554,500 ",$450.45 ,"2/2,0,0,0",1231/A,1974,"0.987/42,976",97/97,Y,,2.500*,3/17/16,CCR
SP1069623,P,SFR/D,487,Dixson ST  ,ARRG,ARRG,,"$599,900 ",$317.24 ,"3/2,0,1,0",1891/S,2006,"0.1749/7,620",80/80,Y,,3,10/21/16,CCR
